# =============================================================================
# Master inventaris Laboratorium Robotika.
#
# PERINGATAN. Baris di bawah masih DATA UJI COBA, bukan aset sungguhan. Isinya
# dibuat menyerupai barang yang lazim ada di laboratorium robotika supaya
# pengurus bisa mencoba penyaringan, pencetakan label, dan peminjaman dengan
# data yang terasa nyata — bukan supaya dipakai sebagai catatan resmi.
#
# Gantilah seluruhnya dengan isi lembar "01 Master Inventaris" pada berkas
# Sistem_Pencatatan_Lab_Robotika_v2.xlsx sebelum dipakai sungguhan. Kolomnya
# sudah disusun sama persis dengan lembar itu.
#
# Semua kode uji coba berawalan CONTOH-. Awalan itulah yang dibaca aplikasi:
# selama masih ada, halaman Inventaris memasang peringatan, dan seeder akan
# MENGHAPUS sisa baris CONTOH- yang tidak lagi tercantum di berkas ini. Jadi
# begitu Anda menempelkan data sebenarnya lalu menjalankan `npm run db:seed`,
# data uji coba ini hilang dengan sendirinya.
#
# kondisi: BAIK | PERLU_DICEK | RUSAK_RINGAN | RUSAK | DALAM_PERBAIKAN |
#          DALAM_PENGEMBANGAN | TERPAKAI | HILANG
# boleh_dipinjam: ya | tidak
# penanggung_jawab_npm: boleh dikosongkan
# =============================================================================
kode_aset,nama,kategori,merk,jumlah,satuan,kondisi,lokasi,tahun_perolehan,penanggung_jawab_npm,boleh_dipinjam,keterangan
CONTOH-001,Multimeter Digital,Alat Ukur,Fluke 117,2,unit,BAIK,Rak A1,2023,22301053005,ya,
CONTOH-002,Multimeter Saku,Alat Ukur,UNI-T UT120C,4,unit,BAIK,Rak A1,2024,22301053005,ya,Untuk pengukuran cepat di meja kerja
CONTOH-003,Osiloskop 100 MHz 4 Kanal,Alat Ukur,Rigol DS1104Z,1,unit,PERLU_DICEK,Meja Ukur,2021,22301053006,ya,Kanal 3 perlu dikalibrasi ulang
CONTOH-004,Tang Ampere,Alat Ukur,UNI-T UT210E,1,unit,BAIK,Rak A1,2023,22301053005,ya,
CONTOH-005,Jangka Sorong Digital,Alat Ukur,Mitutoyo 500-196,2,unit,BAIK,Rak A2,2022,22301053023,ya,
CONTOH-006,Catu Daya DC 30V 5A,Alat Ukur,Wanptek KPS3050D,2,unit,BAIK,Meja Ukur,2022,22301053006,ya,
CONTOH-007,Solder Station,Alat Kerja,Hakko FX-888D,3,unit,BAIK,Meja Kerja 2,2022,22301053005,ya,
CONTOH-008,Hot Air Rework Station,Alat Kerja,Quick 861DW,1,unit,DALAM_PERBAIKAN,Meja Kerja 2,2021,22301053005,tidak,Elemen pemanas mati sejak Juli
CONTOH-009,Penyedot Asap Solder,Alat Kerja,,2,unit,BAIK,Meja Kerja 2,2023,,ya,
CONTOH-010,Toolset Obeng Presisi 60 in 1,Perkakas,Jakemy JM-8160,5,set,BAIK,Laci Perkakas,2023,22301053005,ya,
CONTOH-011,Gerinda Tangan,Perkakas,Makita 9553B,1,unit,BAIK,Bengkel,2022,22301053005,tidak,Alat berisiko — hanya dipakai di bengkel dengan pendampingan
CONTOH-012,Bor Duduk Mini,Perkakas,Bosch GBM 320,1,unit,BAIK,Bengkel,2022,22301053005,tidak,Hanya dipakai di bengkel
CONTOH-013,Lem Tembak,Perkakas,,3,buah,BAIK,Laci Perkakas,2024,,ya,
CONTOH-014,Laptop Kerja Lab,Perangkat Komputasi,Lenovo ThinkPad T480,2,unit,BAIK,Meja Kerja 1,2023,22301053005,ya,
CONTOH-015,Mini PC Layar Absensi,Perangkat Komputasi,Intel NUC11,1,unit,BAIK,Rak Display,2025,22301053005,tidak,Menyalakan halaman /display — tidak boleh dipindahkan
CONTOH-016,Printer 3D FDM,Perangkat Komputasi,Creality Ender-3 V2,2,unit,BAIK,Ruang Fabrikasi,2023,22301053023,tidak,Dipakai di tempat; pengajuan cetak lewat Squad Produk
CONTOH-017,Raspberry Pi 4 Model B 4GB,Perangkat Komputasi,Raspberry Pi,3,unit,BAIK,Lemari Komponen,2023,22301053006,ya,
CONTOH-018,NVIDIA Jetson Nano 4GB,Perangkat Komputasi,NVIDIA,1,unit,BAIK,Lemari Komponen,2024,22301053006,ya,Untuk penglihatan komputer squad Ground
CONTOH-019,Sensor IMU 9 DOF,Sensor,InvenSense MPU-9250,6,buah,BAIK,Lemari Komponen,2024,22301053029,ya,
CONTOH-020,LiDAR 2D 360 Derajat,Sensor,Slamtec RPLIDAR A1M8,1,unit,BAIK,Lemari Komponen,2024,22401053016,ya,
